ライブタイトル,会場,開催時間
BanG Dream!3rd☆LIVE Sparklin'Party 2017!,＠TOKYO DOME CITY HALL (東京都),"2017/02/05 (日) 17:00
"
ミルキィホームズ&ブシロード10周年ライブ&スクフェス4周年記念ライブin横浜アリーナ,＠横浜アリーナ (神奈川県),"2017/04/30 (日) 17:30
"
Roselia 1st Live Rosenlied,＠duo MUSIC EXCHANGE (東京都),"2017/06/30 (金) 19:00
"
Roselia,＠有明コロシアム (東京都),"2017/07/29 (土) 19:00
"
Animelo Summer Live 2017 -THE CARD-,＠さいたまスーパーアリーナ (埼玉県),"2017/08/25 (金) 16:00
"
Roselia 2nd Live Zeit,＠幕張メッセ イベントホール (千葉県),"2017/10/08 (日) 19:00
"
ガルパライブ&ガルパーティ!in東京,＠東京ビッグサイト (東京都),"2018/01/13 (土) 24:00
"
ガルパライブ&ガルパーティ!in東京,＠東京ビッグサイト (東京都),"2018/01/14 (日) 16:00
"
がんばろう!九州 BanG Dream!×ミルキィホームズ×けものフレンズ HTB真冬の対バン祭り!!,＠ハウステンボス ロッテルダム特設会場 (長崎県),"2018/02/11 (日) 
"
BanG Dream! 5th☆LIVE,＠幕張メッセ 国際展示場 1～3ホール (千葉県),"2018/05/13 (日) 
"
FNSうたの夏まつり2018,＠フジテレビ (東京都),"2018/07/25 (水) 19:00
"
Roselia Fan Meeting 2018,＠カルッツかわさき (川崎市スポーツ・文化総合センター) ホール (神奈川県),"2018/09/17 (月) 15:30
"
Roselia Fan Meeting 2018,＠カルッツかわさき (川崎市スポーツ・文化総合センター) ホール (神奈川県),"2018/09/17 (月) 19:00
"
Roselia Live「Vier」,＠品川プリンスホテル ステラボール (東京都),"2018/11/07 (水) 
"
TOKYO MX presents 「BanG Dream! 7th☆LIVE」,＠日本武道館 (東京都),"2019/02/21 (木) 19:00
"
NO GIRL NO CRY,＠メットライフドーム (埼玉県),"2019/05/18 (土) 
"
BILIBILI MACRO LINK-STAR PHASE 2019,＠上海Mercedes-Benz Arena (中国),"2019/07/21 (日) 17:00
"
Flamme,＠富士急ハイランド コニファーフォレスト (山梨県),"2019/08/03 (土) 17:00
"
Wasser,＠富士急ハイランド コニファーフォレスト (山梨県),"2019/08/04 (日) 17:00
"
Animelo Summer Live 2019 -STORY-,＠さいたまスーパーアリーナ (埼玉県),"2019/08/30 (金) 
"
ANIMAX MUSIX 2019 KOBE,＠ワールド記念ホール (兵庫県),"2019/10/27 (日) 16:00
"
Roselia×RAISE A SUILEN合同ライブ「Rausch und/and Craziness」前日祭,＠東京ビッグサイト (東京都),"2019/11/29 (金) 
"
Rausch und/and Craziness,＠幕張メッセ 国際展示場 4～6ホール (千葉県),"2019/11/30 (土) 19:00
"
Rausch und/and Craziness,＠幕張メッセ 国際展示場 4～6ホール (千葉県),"2019/12/01 (日) 16:00
"
Rausch,＠武蔵野の森総合スポーツプラザ (東京都),"2020/02/01 (土) 18:00
"
RADIO EXPO ～TBSラジオ万博2020～,＠パシフィコ横浜 展示ホール (神奈川県),"2020/02/11 (火) 12:15
"
Bang Dream! 8th LIVE 夏の野外3DAYS DAY1: Roselia 「Einheit」,＠富士急ハイランド コニファーフォレスト (山梨県),"2020/08/21 (金) 17:20
"
Roselia×RAISE A SUILEN合同オンラインライブ「Rausch und/and Craziness -interlude-」,＠オンラインライブ,"2020/12/12 (土) 18:00
"
オダイバ!!超次元音楽祭-ヨコハマからハッピーバレンタインフェス2021-,＠ぴあアリーナMM (神奈川県),"2021/02/14 (日) 16:00
"
Roselia×RAISE A SUILEN合同ライブ「Rausch und/and Craziness Ⅱ」,＠横浜アリーナ (神奈川県),"2021/02/22 (月) 17:00
"
2021VS1995-2000アニソンバトルBEST20,＠テレビ朝日 (東京都),"2021/03/25 (木) 18:45
"
BanG Dream! Special☆LIVE Girls Band Party! 2020→2021,＠メットライフドーム (埼玉県),"2021/06/05 (土) 
"
BanG Dream! 9th☆LIVE「The Beginning」,＠富士急ハイランド コニファーフォレスト (山梨県),"2021/08/21 (土) 18:10
"
BanG Dream! 9th☆LIVE「The Beginning」,＠富士急ハイランド コニファーフォレスト (山梨県),"2021/08/22 (日) 17:00
"
ANIMAX MUSIX 2021,＠横浜アリーナ (神奈川県),"2021/11/20 (土) 17:00
"
Roselia 「Edelstein」,＠名古屋国際会議場 センチュリーホール (愛知県),"2021/12/11 (土) 18:00
"
Roselia 「Edelstein」,＠名古屋国際会議場 センチュリーホール (愛知県),"2021/12/12 (日) 16:00
"
Roselia単独ライブ「Episode of Roselia」DAY1 : Weißklee,＠富士急ハイランド コニファーフォレスト (山梨県),"2022/05/21 (土) 
"
Roselia単独ライブ「Episode of Roselia」DAY2 : Rose,＠富士急ハイランド コニファーフォレスト (山梨県),"2022/05/22 (日) 
"
BanG Dream! 10th☆LIVE DAY1:Roselia「Sonnenschein」,＠有明アリーナ (東京都),"2022/09/22 (木) 19:00
"
BanG Dream! Special☆LIVE Girls Band Party! 2020→2022,＠ベルーナドーム (埼玉県),"2022/11/12 (土) 
"
BUSHIROAD 15thANNIVERSARY LIVE,＠ベルーナドーム (埼玉県),"2022/11/13 (日) 
"
COUNTDOWN JAPAN 22/23,＠COSMO STAGE at 幕張メッセ (千葉県),"2022/12/30 (金) 15:00
"
BanG Dream! 11th☆LIVE,＠有明アリーナ (東京都),"2023/02/05 (日) 18:00
"
JAPAN JAM 2023,＠SUNSET STAGE at 千葉市蘇我スポーツ公園 (千葉県),"2023/05/04 (木) 12:15
"
RAISE A SUILEN LIVE 2023「EXCLAMATION HIGHLAND」,＠富士急ハイランド コニファーフォレスト (山梨県),"2023/05/28 (日) 
"
Animelo Summer Live 2023 -AXEL-,＠さいたまスーパーアリーナ (埼玉県),"2023/08/25 (金) 16:00
"
Roselia「Farbe」,＠有明アリーナ (東京都),"2023/09/16 (土) 
"
Roselia「Farbe」,＠有明アリーナ (東京都),"2023/09/17 (日) 18:00
"
COUNTDOWN JAPAN 23/24,＠COSMO STAGE at 幕張メッセ (千葉県),"2023/12/29 (金) 13:00
"
Roselia LIVE TOUR「Rosenchor」,＠大阪城ホール (大阪府),"2024/02/17 (土) 18:00
"
Roselia LIVE TOUR「Rosenchor」,＠大阪城ホール (大阪府),"2024/02/18 (日) 18:00
"
Roselia LIVE TOUR「Rosenchor」,＠カナモトホール (北海道),"2024/05/04 (土) 17:00
"
Roselia LIVE TOUR「Rosenchor」,＠カナモトホール (北海道),"2024/05/05 (日) 16:30
"
Roselia LIVE TOUR「Rosenchor」,＠愛知県芸術劇場 大ホール (愛知県),"2024/05/18 (土) 18:00
"
Roselia LIVE TOUR「Rosenchor」,＠福岡サンパレス (福岡県),"2024/05/26 (日) 16:30
"
Roselia LIVE TOUR「Rosenchor」,＠東京ガーデンシアター (東京都),"2024/06/29 (土) 18:00
"
Roselia LIVE TOUR「Rosenchor」,＠東京ガーデンシアター (東京都),"2024/06/30 (日) 
"
LuckyFes 2024,＠RAINBOW STAGE at 国営ひたち海浜公園 (茨城県),"2024/07/14 (日) 12:20
"
Roselia LIVE TOUR「Rosenchor」,＠静安体育中心 (中国),"2024/08/03 (土) 19:00
"
"Roselia「Stille Nacht, Rosen Nacht」",＠武蔵野の森総合スポーツプラザ (東京都),"2024/12/14 (土) 17:00
"
Ave Mujica 4th LIVE「Adventus」,＠武蔵野の森総合スポーツプラザ (東京都),"2024/12/15 (日) 17:00
"
